phase,match_id,map_name,start_time,end_time,safety_x,safety_y,safety_radius,poison_x,poison_y,poison_radius,map
1,6c3aeead-8c55-4d71-93ae-fb2da6e45524,Baltic_Main,100,599,543064.1875,411431.6875,192115.09375,543083.375,411432.1875,192059.71875,Erangel
2,6c3aeead-8c55-4d71-93ae-fb2da6e45524,Baltic_Main,609,778,540407.1875,393623.84375,105735.390625,540404.0,393602.6875,105632.84375,Erangel
3,6c3aeead-8c55-4d71-93ae-fb2da6e45524,Baltic_Main,788,958,511164.90625,373992.5625,63454.41796875,511113.125,373957.8125,63379.70703125,Erangel
4,6c3aeead-8c55-4d71-93ae-fb2da6e45524,Baltic_Main,968,1138,491118.0625,358834.9375,38038.0703125,491109.96875,358828.8125,38027.82421875,Erangel
5,6c3aeead-8c55-4d71-93ae-fb2da6e45524,Baltic_Main,1148,1287,493770.5625,365726.40625,26353.369140625,494143.25,366692.59375,24718.083984375,Erangel
6,6c3aeead-8c55-4d71-93ae-fb2da6e45524,Baltic_Main,1297,1347,494143.25,366692.59375,24718.083984375,497466.25,361182.21875,16066.75390625,Erangel
1,70b98d19-a16f-48b6-8966-430c2e10e2e8,Savage_Main,96,436,292122.1875,207842.484375,145609.578125,292122.1875,207842.484375,145609.578125,Sanhok
2,70b98d19-a16f-48b6-8966-430c2e10e2e8,Savage_Main,446,675,259408.703125,230780.609375,101952.125,259389.65625,230793.96875,101926.703125,Sanhok
3,70b98d19-a16f-48b6-8966-430c2e10e2e8,Savage_Main,684,883,262599.09375,257758.234375,61205.62890625,262603.0,257791.078125,61156.0234375,Sanhok
4,70b98d19-a16f-48b6-8966-430c2e10e2e8,Savage_Main,893,1061,278578.03125,264443.1875,30608.775390625,278594.125,264449.875,30578.01171875,Sanhok
5,70b98d19-a16f-48b6-8966-430c2e10e2e8,Savage_Main,1071,1161,283864.75,270631.59375,16556.744140625,284341.3125,271190.53125,15289.005859375,Sanhok
6,70b98d19-a16f-48b6-8966-430c2e10e2e8,Savage_Main,1171,1261,285526.21875,275426.375,8901.666015625,285759.4375,276260.0625,7644.5029296875,Sanhok
7,70b98d19-a16f-48b6-8966-430c2e10e2e8,Savage_Main,1271,1350,284965.3125,277254.03125,4277.0068359375,284858.0625,277388.25,3822.25146484375,Sanhok
8,70b98d19-a16f-48b6-8966-430c2e10e2e8,Savage_Main,1360,1380,284858.0625,277388.25,3822.25146484375,284886.84375,277256.53125,1911.125732421875,Sanhok
1,765f9515-9032-43f2-bb5e-c25a9e13b362,Neon_Main,100,598,415954.84375,325413.75,192145.9375,415956.59375,325395.5,192059.71875,Rondo
2,765f9515-9032-43f2-bb5e-c25a9e13b362,Neon_Main,608,778,464168.21875,256320.53125,105755.9609375,464237.0,256222.0,105632.84375,Rondo
3,765f9515-9032-43f2-bb5e-c25a9e13b362,Neon_Main,788,957,486048.15625,251072.515625,63464.01171875,486091.75,251062.21875,63379.70703125,Rondo
4,765f9515-9032-43f2-bb5e-c25a9e13b362,Neon_Main,967,1137,466449.3125,254174.828125,38050.97265625,466431.375,254177.671875,38027.82421875,Rondo
5,765f9515-9032-43f2-bb5e-c25a9e13b362,Neon_Main,1147,1286,466752.0,253642.984375,26361.77734375,466797.1875,253567.65625,24718.083984375,Rondo
6,765f9515-9032-43f2-bb5e-c25a9e13b362,Neon_Main,1296,1386,467090.84375,250290.359375,20360.15625,467380.15625,247061.59375,16066.75390625,Rondo
1,8500b407-a348-4751-bf16-ab6c46469921,Savage_Main,96,438,306017.75,197269.421875,145621.5,306026.25,197269.0,145609.578125,Sanhok
2,8500b407-a348-4751-bf16-ab6c46469921,Savage_Main,448,677,269213.21875,181767.5625,101959.1640625,269185.84375,181756.03125,101926.703125,Sanhok
3,8500b407-a348-4751-bf16-ab6c46469921,Savage_Main,687,887,252228.734375,148547.40625,61211.9296875,252205.453125,148501.8125,61156.0234375,Sanhok
4,8500b407-a348-4751-bf16-ab6c46469921,Savage_Main,897,1066,263162.875,153932.28125,30615.8359375,263176.4375,153939.0,30578.01171875,Sanhok
5,8500b407-a348-4751-bf16-ab6c46469921,Savage_Main,1076,1166,255749.859375,156448.3125,16568.9375,255071.328125,156677.578125,15289.005859375,Sanhok
6,8500b407-a348-4751-bf16-ab6c46469921,Savage_Main,1176,1266,251657.46875,155768.171875,8906.17578125,250982.65625,155588.421875,7644.5029296875,Sanhok
7,8500b407-a348-4751-bf16-ab6c46469921,Savage_Main,1276,1356,249140.296875,154414.296875,4278.6865234375,248890.453125,154255.078125,3822.25146484375,Sanhok
8,8500b407-a348-4751-bf16-ab6c46469921,Savage_Main,1366,1436,249196.09375,153848.453125,2374.0,249293.78125,153718.5,1911.125732421875,Sanhok
1,8e7983d3-1354-4440-ab80-a5bf9b30235a,Savage_Main,97,438,261861.90625,110330.5234375,145609.578125,261861.90625,110330.5234375,145609.578125,Sanhok
2,8e7983d3-1354-4440-ab80-a5bf9b30235a,Savage_Main,448,673,243079.46875,89063.1171875,101926.703125,243079.46875,89063.1171875,101926.703125,Sanhok
3,8e7983d3-1354-4440-ab80-a5bf9b30235a,Savage_Main,682,880,244929.875,127503.3828125,61166.37109375,244930.34375,127513.140625,61156.0234375,Sanhok
4,8e7983d3-1354-4440-ab80-a5bf9b30235a,Savage_Main,890,1059,234220.0,138000.453125,30581.994140625,234218.609375,138001.8125,30578.01171875,Sanhok
5,8e7983d3-1354-4440-ab80-a5bf9b30235a,Savage_Main,1069,1159,228715.6875,143286.453125,16534.25390625,228227.75,143755.03125,15289.005859375,Sanhok
6,8e7983d3-1354-4440-ab80-a5bf9b30235a,Savage_Main,1169,1259,224977.671875,148584.125,8884.9609375,224348.140625,149519.515625,7644.5029296875,Sanhok
7,8e7983d3-1354-4440-ab80-a5bf9b30235a,Savage_Main,1269,1339,222935.3125,148792.0,5220.18212890625,222120.640625,148372.484375,3822.25146484375,Sanhok
1,ad60a2fd-cd87-4a45-a532-e1b96dbcc08f,Baltic_Main,100,599,324267.3125,544797.375,192158.90625,324246.0,544832.1875,192059.71875,Erangel
2,ad60a2fd-cd87-4a45-a532-e1b96dbcc08f,Baltic_Main,609,779,287738.875,467386.25,105741.1953125,287693.0625,467289.03125,105632.84375,Erangel
3,ad60a2fd-cd87-4a45-a532-e1b96dbcc08f,Baltic_Main,789,958,300961.59375,438949.46875,63456.63671875,300985.78125,438897.78125,63379.70703125,Erangel
4,ad60a2fd-cd87-4a45-a532-e1b96dbcc08f,Baltic_Main,968,1138,301641.78125,430040.5,38048.9921875,301642.34375,430033.09375,38027.82421875,Erangel
5,ad60a2fd-cd87-4a45-a532-e1b96dbcc08f,Baltic_Main,1148,1288,309733.40625,429544.46875,26361.26953125,310873.0,429475.65625,24718.083984375,Erangel
6,ad60a2fd-cd87-4a45-a532-e1b96dbcc08f,Baltic_Main,1298,1377,311477.71875,430305.84375,21796.60546875,312663.75,431934.09375,16066.75390625,Erangel
1,b48347a0-ac02-40a2-bd03-5238f297b864,Tiger_Main,99,595,432313.09375,656221.125,192114.71875,432316.53125,656256.125,192059.71875,Taego
2,b48347a0-ac02-40a2-bd03-5238f297b864,Tiger_Main,605,774,360831.8125,613224.5,105717.6171875,360761.625,613182.25,105632.84375,Taego
3,b48347a0-ac02-40a2-bd03-5238f297b864,Tiger_Main,784,953,376441.5625,602816.6875,63461.27734375,376471.90625,602796.625,63379.70703125,Taego
4,b48347a0-ac02-40a2-bd03-5238f297b864,Tiger_Main,963,1133,371601.90625,600688.25,38042.6484375,371599.0625,600687.0,38027.82421875,Taego
5,b48347a0-ac02-40a2-bd03-5238f297b864,Tiger_Main,1143,1282,378219.40625,595426.125,26355.37890625,379148.03125,594688.1875,24718.083984375,Taego
6,b48347a0-ac02-40a2-bd03-5238f297b864,Tiger_Main,1292,1402,382518.46875,599991.0,17462.193359375,383166.65625,601010.8125,16066.75390625,Taego
7,b48347a0-ac02-40a2-bd03-5238f297b864,Tiger_Main,1412,1502,382606.28125,601575.5625,11338.80078125,382500.15625,601682.5,10443.3896484375,Taego
8,b48347a0-ac02-40a2-bd03-5238f297b864,Tiger_Main,1512,1592,383226.53125,600412.625,7363.1337890625,383362.09375,600175.625,6788.203125,Taego
9,b48347a0-ac02-40a2-bd03-5238f297b864,Tiger_Main,1602,1602,383362.09375,600175.625,6788.203125,383362.09375,600175.625,6.788203239440918,Taego
1,bff6fae5-df67-4b78-86ca-62f3c4b97536,Summerland_Main,70,299,79569.328125,135099.359375,81445.6796875,79569.328125,135099.359375,81445.6796875,Karakin
2,bff6fae5-df67-4b78-86ca-62f3c4b97536,Summerland_Main,309,509,101117.3828125,132571.109375,57014.23046875,101119.3671875,132570.875,57011.9765625,Karakin
3,bff6fae5-df67-4b78-86ca-62f3c4b97536,Summerland_Main,519,688,90125.0546875,135293.15625,34227.4296875,90115.2890625,135295.578125,34207.1875,Karakin
4,bff6fae5-df67-4b78-86ca-62f3c4b97536,Summerland_Main,698,808,86478.4609375,148203.515625,20551.42578125,86471.2421875,148229.140625,20524.3125,Karakin
5,bff6fae5-df67-4b78-86ca-62f3c4b97536,Summerland_Main,818,898,86567.9609375,144896.890625,16442.951171875,86665.7890625,141526.28125,12314.587890625,Karakin
1,c099ef78-9e3d-429e-913a-8d79c6fee38e,Baltic_Main,100,599,454086.46875,587343.0,192118.96875,454093.46875,587370.25,192059.71875,Erangel
2,c099ef78-9e3d-429e-913a-8d79c6fee38e,Baltic_Main,609,778,491286.78125,610067.5625,105745.890625,491335.5,610097.3125,105632.84375,Erangel
3,c099ef78-9e3d-429e-913a-8d79c6fee38e,Baltic_Main,788,958,489371.28125,634313.6875,63461.58984375,489367.46875,634360.6875,63379.70703125,Erangel
4,c099ef78-9e3d-429e-913a-8d79c6fee38e,Baltic_Main,968,1138,485745.125,658697.8125,38050.7890625,485741.84375,658719.875,38027.82421875,Erangel
5,c099ef78-9e3d-429e-913a-8d79c6fee38e,Baltic_Main,1148,1287,487491.46875,650347.375,26362.28515625,487738.0625,649167.3125,24718.083984375,Erangel
6,c099ef78-9e3d-429e-913a-8d79c6fee38e,Baltic_Main,1297,1407,483735.75,644654.75,17466.822265625,482962.96875,643783.5,16066.75390625,Erangel
7,c099ef78-9e3d-429e-913a-8d79c6fee38e,Baltic_Main,1417,1417,482962.96875,643783.5,16066.75390625,478971.03125,643947.3125,10443.3896484375,Erangel
1,c34cefda-d279-4911-a2ce-6cca3e1df439,Desert_Main,99,504,584324.3125,593942.0,192088.4375,584337.3125,593955.6875,192059.71875,Miramar
2,c34cefda-d279-4911-a2ce-6cca3e1df439,Desert_Main,514,680,612639.9375,585391.125,105632.84375,612639.9375,585391.125,105632.84375,Miramar
3,c34cefda-d279-4911-a2ce-6cca3e1df439,Desert_Main,690,855,626131.875,576511.5625,63380.9296875,626132.25,576511.3125,63379.70703125,Miramar
4,c34cefda-d279-4911-a2ce-6cca3e1df439,Desert_Main,865,1031,637747.875,591343.4375,38027.82421875,637747.875,591343.4375,38027.82421875,Miramar
5,c34cefda-d279-4911-a2ce-6cca3e1df439,Desert_Main,1041,1200,639058.5,580069.0625,25802.05859375,639174.6875,579069.4375,24718.083984375,Miramar
